AusweisNr,Geschlecht,Veranstaltung,Bundesland,Inhalt,Kompetenz,Schwierigkeitsgrad,Empfohlen,AlterInJahren,Lehrabschluss,Matura,WG
1,Mann,Vorlesung,Wien,6,9,5,True,20,False,True,True
2,Mann,Vorlesung,Steiermark,7,10,3,False,20,False,True,True
3,Frau,Projekt,Steiermark,6,10,7,True,23,True,False,False
4,Frau,Übung,Steiermark,5,4,5,False,26,False,True,True
5,Frau,Übung,Wien,8,8,7,True,23,True,False,False
6,Mann,Vorlesung,Kärnten,9,5,7,False,21,True,False,False
7,Mann,Vorlesung,Kärnten,10,7,9,True,26,False,True,True
8,Frau,Projekt,Steiermark,3,8,6,True,29,True,True,False
9,Frau,Übung,Steiermark,7,10,2,True,31,True,True,False
10,Frau,Übung,Wien,8,10,4,False,22,False,False,False
11,Mann,Vorlesung,Wien,2,7,2,False,23,True,True,True
12,Mann,Vorlesung,Steiermark,9,8,5,False,22,False,True,False
13,Frau,Projekt,Kärnten,10,3,8,False,21,True,True,True
14,Frau,Übung,Steiermark,10,10,1,True,21,True,False,False
15,Frau,Übung,Steiermark,8,0,6,False,26,False,False,True
16,Mann,Vorlesung,Wien,9,5,7,False,21,True,False,False
17,Mann,Vorlesung,Kärnten,10,7,0,False,29,True,True,True
18,Frau,Projekt,Steiermark,3,8,7,False,30,False,True,False
19,Frau,Übung,Steiermark,7,10,6,True,23,True,True,False
20,Frau,Übung,Wien,8,10,7,True,25,True,False,False
21,Mann,Vorlesung,Kärnten,2,7,6,False,27,True,True,True
22,Mann,Vorlesung,Kärnten,10,7,5,True,22,False,True,False
23,Frau,Projekt,Steiermark,3,8,8,True,31,True,True,False
24,Frau,Übung,Steiermark,7,10,4,True,21,True,True,False
25,Frau,Übung,Wien,8,10,1,True,31,True,False,False
26,Mann,Vorlesung,Wien,2,7,7,True,28,False,True,False
27,Mann,Vorlesung,Steiermark,9,8,0,True,29,True,True,False
28,Frau,Projekt,Kärnten,10,3,5,True,30,False,True,False
29,Mann,Übung,Steiermark,10,10,6,False,26,False,False,True
30,Frau,Übung,Steiermark,8,0,6,False,26,False,False,True
31,Frau,Vorlesung,Wien,9,5,1,False,27,True,False,False
32,Frau,Übung,Kärnten,10,7,2,False,31,True,True,True
33,Mann,Übung,Steiermark,3,8,2,True,25,True,True,False
34,Frau,Vorlesung,Steiermark,7,10,6,True,23,True,True,False
35,Frau,Vorlesung,Wien,8,10,4,False,22,False,False,False
36,Mann,Projekt,Kärnten,3,8,1,False,24,False,True,True
37,Mann,Vorlesung,Kärnten,7,10,5,False,22,False,True,False
38,Frau,Projekt,Steiermark,8,10,4,False,22,False,False,False
39,Frau,Übung,Steiermark,2,7,10,False,31,True,True,False
40,Frau,Übung,Wien,9,8,9,False,26,False,True,True
41,Mann,Vorlesung,Wien,10,3,1,True,26,False,True,True
42,Mann,Vorlesung,Steiermark,10,10,6,False,26,False,False,True
43,Frau,Projekt,Kärnten,8,0,7,True,27,True,False,False
44,Frau,Übung,Kärnten,9,5,4,True,30,False,False,False
45,Frau,Übung,Steiermark,10,7,1,True,30,False,True,False
46,Mann,Vorlesung,Wien,3,8,1,False,24,False,True,True
47,Mann,Vorlesung,Steiermark,7,10,2,True,31,True,True,False
48,Frau,Projekt,Steiermark,8,10,3,True,21,True,False,False
49,Frau,Übung,Steiermark,2,7,3,True,24,False,True,True
50,Frau,Übung,Steiermark,10,7,3,True,20,False,True,True
51,Mann,Vorlesung,Wien,3,8,3,False,26,False,True,True
52,Mann,Vorlesung,Kärnten,7,10,5,False,22,False,True,False
53,Frau,Projekt,Steiermark,8,10,5,True,23,True,False,False
54,Frau,Übung,Steiermark,2,7,4,False,25,True,True,False
55,Frau,Übung,Wien,9,8,9,False,26,False,True,True
56,Mann,Vorlesung,Wien,10,3,9,True,22,False,True,False
57,Mann,Vorlesung,Steiermark,10,10,8,False,28,False,False,False
58,Frau,Projekt,Kärnten,8,0,5,True,25,True,False,False
59,Frau,Übung,Kärnten,9,5,0,True,26,False,False,True
